COD_CURSO;COD_DISCIPLINA;COD_TURMA;PERIODO_IDEAL;NOME_DISCIPLINA;VAGAS_OFERECIDAS;DIA_SEMANA;HR_INICIO;HR_FIM;NUM_SALA;NOME_DOCENTE
GCIV;GCIV0820;790065;0;ACESSIBILIDADE A EDIFICAÇÕES E ESPAÇOS URBANOS;40;SEG;16:30:00;18:10:00;E-301;ANDREA SOUSA DA CUNHA FERNANDES
GEL;GELE7083;272549;8;ACIONAMENTOS ELÉTRICOS;30;QUA;15:25:00;18:10:00;E-313;JULIO CESAR DE CARVALHO FERREIRA
GAMB;GEAMB1311;131311;3;ADMINISTRAÇÃO;40;TER;18:10:00;19:50:00;E-405;AUGUSTO DA CUNHA REIS
GAUT;GEDA7001;655044;8;ADMINISTRAÇÃO;20;SEX;14:35:00;16:15:00;D-224;LUCIANO OLIVEIRA CARINO
GAUT;GEDA7001;655044;8;ADMINISTRAÇÃO;20;SEX;14:35:00;16:15:00;D-224;FERNANDO RAMOS CORREA
GCIV;GCIV8102;700006;1;ADMINISTRAÇÃO;5;SEG;12:50:00;14:30:00;E-415;ANDREA SOUSA DA CUNHA FERNANDES
GEL;GEDA7001;262547;8;ADMINISTRAÇÃO;20;SEX;14:35:00;16:15:00;D-224;FERNANDO RAMOS CORREA
GEL;GEDA7001;262547;8;ADMINISTRAÇÃO;20;SEX;14:35:00;16:15:00;D-224;LUCIANO OLIVEIRA CARINO
GELT;GEDA7001;362547;8;ADMINISTRAÇÃO;25;SEX;14:35:00;16:15:00;D-224;LUCIANO OLIVEIRA CARINO
GELT;GEDA7001;362547;8;ADMINISTRAÇÃO;25;SEX;14:35:00;16:15:00;D-224;FERNANDO RAMOS CORREA
GMEC;GEDA7001;110205;2;ADMINISTRAÇÃO;50;QUA;10:40:00;12:20:00;D-222;MARCELO SAMPAIO DIAS MACIEL
GTEL;GEDA7001;562547;8;ADMINISTRAÇÃO;25;SEX;14:35:00;16:15:00;D-224;LUCIANO OLIVEIRA CARINO
GTEL;GEDA7001;562547;8;ADMINISTRAÇÃO;25;SEX;14:35:00;16:15:00;D-224;FERNANDO RAMOS CORREA
GADM;GADM1761;851761;6;ADMINISTRAÇÃO DA PRODUÇÃO;55;SEG;18:10:00;21:30:00;H-102;ALEXANDRE BARBOSA MARQUES
BCC;GCC1522;951522;5;ADMINISTRAÇÃO DE BANCO DE DADOS;40;SEG;14:35:00;18:10:00;P1-103;JORGE DE ABREU SOARES
BCC;GADM1726;990002;0;ADMINISTRAÇÃO DE MATERIAIS;5;SEX;08:55:00;12:20:00;E-403;MARCUS VAL SPRINGER
GADM;GADM1726;821726;2;ADMINISTRAÇÃO DE MATERIAIS;60;SEX;08:55:00;12:20:00;E-403;MARCUS VAL SPRINGER
GADM;GADM1732;831732;3;ADMINISTRAÇÃO DE VAREJO;55;SEG;12:50:00;15:25:00;E-307;PAULO HENRIQUE PINHO DE OLIVEIRA
GADM;GADM1742;841742;4;ADMINISTRAÇÃO DE VENDAS E SERVIÇOS;55;QUI;12:50:00;15:25:00;E-405;PAULO HENRIQUE PINHO DE OLIVEIRA
GADM;GADM1756;851756;5;ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA I;55;SEX;15:25:00;18:10:00;E-403;LUIZ ROGERIO CORDEIRO DE OLIVEIRA
GADM;GADM1766;851766;6;ADMINISTRAÇÃO FINANCEIRA E ORÇAMENTÁRIA II;55;QUI;19:50:00;22:20:00;E-305;FABIO DE SIMONE E SOUZA
GCIV;GCIV0821;700011;0;AEROPORTOS;30;QUI;19:50:00;21:30:00;D-218;EUNICE HORACIO DE SOUZA DE BARROS TEIXEIRA RODRIGUES
BCC;GEXT7501;910002;1;ÁLGEBRA LINEAR I;15;TER;18:10:00;19:50:00;H-102;NILO PINTO DA SILVA FILHO
GAMB;GEXT7501;162002;1;ÁLGEBRA LINEAR I;15;TER;18:10:00;19:50:00;E-305;ARUQUIA BARBOSA MATOS PEIXOTO
GAUT;GEXT7501;650005;1;ÁLGEBRA LINEAR I;5;QUA;16:30:00;18:10:00;E-307;ALEXANDRE TOMAN
GCIV;GEXT7501;700005;1;ÁLGEBRA LINEAR I;16;QUI;13:40:00;15:25:00;H-104;CRISTIANE PINHO GUEDES
GEL;GMAT1003MA;201021;1;ÁLGEBRA LINEAR I;10;SEG;16:30:00;18:10:00;H-102;ROBERTO SOUZA SA BARRETO
GELT;GEXT7501;301021;1;ÁLGEBRA LINEAR I;6;SEG;16:30:00;18:10:00;H-102;ROBERTO SOUZA SA BARRETO
GFIS;GMAT1003MA;217501;1;ÁLGEBRA LINEAR I;5;SEG;12:50:00;14:30:00;E-305;CRISTIANE PINHO GUEDES
GMEC;GMAT1003MA;101021-A;1;ÁLGEBRA LINEAR I;20;QUA;10:40:00;12:20:00;H-102;ROBERTO SOUZA SA BARRETO
GPROD;GMAT1003MA;417501;1;ÁLGEBRA LINEAR I;20;SEX;10:40:00;12:20:00;H-101;JOSE CARLOS RUBIANES SILVA
GTEL;GMAT1003MA;501021;1;ÁLGEBRA LINEAR I;5;QUA;16:30:00;18:10:00;E-307;ALEXANDRE TOMAN
BCC;GEXT7502;920002;2;ÁLGEBRA LINEAR II;45;QUI;15:25:00;18:10:00;H-101;JOSE CARLOS RUBIANES SILVA
GAMB;GEXT7502;127502;2;ÁLGEBRA LINEAR II;46;TER;15:25:00;18:10:00;H-105;ARUQUIA BARBOSA MATOS PEIXOTO
